"Rank","Mark","Wind","Competitor","DOB","Nat","Pos","Venue","Date","ResultsScore"
"280","7.40","","Sofiya MIRONOVA","07 APR 2002","RUS","3","Spartak Arena, Ulyanovsk (RUS) (i)","24 FEB 2023","1084"
"280","7.40","","LaTrouchka DUKE","","USA","2","Idaho-Kibbe ASUI Activity Center, Moscow, ID (USA) (i)","25 FEB 2023","1084"
"280","7.40","","Marie-Éloise LECLAIR","10 SEP 2002","CAN","2h1","Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)","10 MAR 2023","1084"
"304","7.41","","Lisa NIPPGEN","02 APR 1997","GER","4","Coque Sport Center, Luxembourg (LUX) (i)","22 JAN 2023","1081"
"304","7.41","","Nikola HOROWSKA","03 JAN 2001","POL","2h1","Arena, Toruń (POL) (i)","22 JAN 2023","1081"
"304","7.41","","Shana GREBO","09 NOV 2000","FRA","3pr","Sports Performance Center, Lubbock, TX (USA) (i)","27 JAN 2023","1081"
"304","7.41","","Hannah BRIER","03 FEB 1998","GBR","3h1","Stadium Pierre-Quinon, Nantes (FRA) (i)","28 JAN 2023","1081"
"304","7.41","","Elise MEHUYS","01 NOV 1995","BEL","3h3","Topsporthal Vlaanderen, Gent (BEL) (i)","04 FEB 2023","1081"
"304","7.41","","Hamideh Esmaiel NEJAD","23 JUL 1997","IRI","1h2","Nur-Sultan (KAZ) (i)","10 FEB 2023","1081"
"304","7.41","","Lynelle WASHINGTON","","USA","2h3","Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)","10 FEB 2023","1081"
"304","7.41","","Mabel AKANDE","05 SEP 2006","GBR","1","National Indoor Athletics Centre, Sheffield (GBR) (i)","11 FEB 2023","1081"
"304","7.41","","Michelle GLOOR","16 OCT 2000","SUI","1","Halle End der Welt, Magglingen (SUI) (i)","11 FEB 2023","1081"
"304","7.41","","Jialu XU","16 SEP 2000","CHN","2","Shandong Sports Training Center, Jinan (CHN) (i)","15 FEB 2023","1081"
"304","7.41","","Ivana ILIĆ","08 JUN 2002","SRB","2","Atletska dvorana, Beograd (SRB) (i)","18 FEB 2023","1081"
"304","7.41","","Paula GARCÍA","10 NOV 1998","ESP","5h2","Gallur, Madrid (ESP) (i)","22 FEB 2023","1081"
"304","7.41","","Abby GEISER","2002","USA","2h1","Norton Sports Center, Louisville, KY (USA) (i)","24 FEB 2023","1081"
"304","7.41","","Molly SCOTT","30 MAR 1999","IRL","2f3","National Indoor Arena, Abbotstown, Dublin (IRL) (i)","24 FEB 2023","1081"
"304","7.41","","Lia LOVE","","USA","3h4","SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA) (i)","24 FEB 2023","1081"
"304","7.41","","Yongli WEI","11 OCT 1991","CHN","2f2","Sichuan Xipu Training Base, Chengdu (CHN) (i)","28 FEB 2023","1081"
"304","7.41","","Nia WILSON","","USA","4","The Track at New Balance, Boston, MA (USA) (i)","12 MAR 2023","1081"
"304","7.41","","Man ZHANG","20 APR 1997","CHN","3","Tuanbo Sports Center, Tianjin (CHN) (i)","15 MAR 2023","1081"
"304","7.41","+1.3","Taylah CRUTTENDEN","19 OCT 2003","AUS","1f1","WA Sports Centre, Perth (AUS)","10 NOV 2023","1081"
"304","7.41","","Adaliz HUNT","","USA","1","Army-Gillis FH, West Point, NY (USA) (i)","02 DEC 2023","1081"
"324","7.42","","Andrea ROOTH","06 MAR 2002","NOR","1f5","Bærum Idrettspark, Rud, Bærum (NOR) (i)","20 JAN 2023","1078"
"324","7.42","","Gréta KEREKES","09 OCT 1992","HUN","1","Atlétikai Centrum, Nyíregyháza (HUN) (i)","21 JAN 2023","1078"
"324","7.42","","Ilenia ANGELINI","30 MAR 2003","ITA","5f1","Palaindoor Ancona, Ancona (ITA) (i)","21 JAN 2023","1078"
"324","7.42","","Floriane GNAFOUA","30 JAN 1996","FRA","5","Coque Sport Center, Luxembourg (LUX) (i)","22 JAN 2023","1078"
"324","7.42","","Natacha NGOYE AKAMABI","15 AUG 1993","CGO","5f1","Stadium Pierre-Quinon, Nantes (FRA) (i)","28 JAN 2023","1078"
"324","7.42","","Johanna KYLMÄNEN","22 MAR 2002","FIN","2f2","Liikuntamylly, Helsinki (FIN) (i)","28 JAN 2023","1078"
"324","7.42","","Aino PULKKINEN","02 FEB 1998","FIN","3f2","Liikuntamylly, Helsinki (FIN) (i)","28 JAN 2023","1078"
"324","7.42","","Filippa SIVNERT","11 APR 2001","SWE","4","Sätrahallen, Stockholm (SWE) (i)","29 JAN 2023","1078"
"324","7.42","","Eve WRIGHT","08 AUG 2002","GBR","2er1","Newham Leisure Centre, London (GBR) (i)","01 FEB 2023","1078"
"324","7.42","","Javianne OLIVER","26 DEC 1994","USA","6h1","The Track at New Balance, Boston, MA (USA) (i)","04 FEB 2023","1078"
"324","7.42","+1.7","Auriane LINA","20 OCT 2001","FRA","1f1","Stade Municipal, Le Lorrain (FRA)","04 FEB 2023","1096"
"324","7.42","","Faith BANKS","","USA","3h2","Convention Center, Albuquerque, NM (USA) (i)","11 FEB 2023","1078"
"324","7.42","","Diana HONCHARENKO","20 SEP 2004","UKR","2","KMSHVSM Arena, Kyiv (UKR) (i)","17 FEB 2023","1078"
"324","7.42","","Chloé GALET","30 AUG 2001","FRA","3h1","Stadium Jean-Pellez, Aubiére (FRA) (i)","18 FEB 2023","1078"
"324","7.42","","Leelou MARTIAL-EHOULET","26 MAR 2002","FRA","4h2","Stadium Jean-Pellez, Aubiére (FRA) (i)","18 FEB 2023","1078"
"324","7.42","","Trinity BARNETT","","USA","2","The Podium, Spokane, WA (USA) (i)","18 FEB 2023","1078"
"324","7.42","","Bria BULLARD","","USA","5h3","Sports Performance Center, Lubbock, TX (USA) (i)","24 FEB 2023","1078"
"324","7.42","","Cecilia TAMAYO-GARZA","04 MAR 1997","MEX","1h3","CrossPlex Athletic Facility, Birmingham, AL (USA) (i)","24 FEB 2023","1078"
"324","7.42","","Chelsea KADIRI","27 JUL 2005","GER","1","Helmut-Körnig-Halle, Dortmund (GER) (i)","25 FEB 2023","1078"
"324","7.42","-1.4","Crystal MORRISON","06 FEB 2002","JAM","4h1","National Stadium, Kingston (JAM)","25 FEB 2023","1104"
"324","7.42","","Elvira TANDERUD","25 MAR 2004","SWE","1sf2","Eva Lisa Holtz Arena, Karlstad (SWE) (i)","26 FEB 2023","1078"
"324","7.42","","He LI","21 FEB 2001","CHN","3f2","Sichuan Xipu Training Base, Chengdu (CHN) (i)","28 FEB 2023","1078"
"324","7.42","+1.9","Keely BOYNE","11 JAN 2002","AUS","1f1","Lakeside Stadium, Melbourne (AUS)","28 NOV 2023","1078"
"347","7.43","","Tiana WILSON","19 JUL 2000","USA","1h1","Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)","13 JAN 2023","1074"
"347","7.43","","Arianna ALEXANDER","","USA","1h1","Convention Center, Albuquerque, NM (USA) (i)","21 JAN 2023","1074"
"347","7.43","","Hope Eghonghon ESEKHEIGBE","21 NOV 2001","ITA","3","Velódromo Luis Puig, Valencia (ESP) (i)","22 JAN 2023","1074"
"347","7.43","","Yanina LUTSENKA","02 APR 2000","BLR","1h1","RTSOP Arena, Minsk (BLR) (i)","26 JAN 2023","1074"
"347","7.43","","Sarah RICHARD","02 APR 1998","FRA","4h1","Stadium Pierre-Quinon, Nantes (FRA) (i)","28 JAN 2023","1074"
"347","7.43","","Tonea MARSHALL","17 DEC 1998","USA","3h1","Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)","28 JAN 2023","1074"
"347","7.43","","Rachel MILLER","29 JAN 1990","GBR","2f1","Loughborough University Indoor Track, Loughborough (GBR) (i)","04 FEB 2023","1074"
"347","7.43","","Deondra GREEN","18 OCT 2000","CAN","2h3","Sports Performance Center, Lubbock, TX (USA) (i)","10 FEB 2023","1074"
"347","7.43","","Lingyao KONG","03 MAY 1997","CHN","3","Shandong Sports Training Center, Jinan (CHN) (i)","15 FEB 2023","1074"
"347","7.43","","Adriane NWONUMAH","24 JUN 2004","USA","1h4","Sports Performance Center, Lubbock, TX (USA) (i)","17 FEB 2023","1074"
"347","7.43","","Nia WEDDERBURN-GOODISON","09 JAN 2005","GBR","1h2","Utilita Arena Birmingham, Birmingham (GBR) (i)","18 FEB 2023","1074"
"347","7.43","","Artemis Melina ANASTASIOU","13 AUG 2000","GRE","3f2","Peace and Friendship Stadium, Piraeus (GRE) (i)","18 FEB 2023","1074"
"347","7.43","","Mette GRAVERSGAARD","05 OCT 1995","DEN","1","Langvang Atletikhal, Randers (DEN) (i)","18 FEB 2023","1074"
"347","7.43","","Anne MAQUET","25 NOV 1994","FRA","6h2","Stadium Jean-Pellez, Aubiére (FRA) (i)","18 FEB 2023","1074"
"347","7.43","","Elvira HRABARENKA","09 JAN 1997","BLR","1","Olimpiyets Arena, Mogilyov (BLR) (i)","18 FEB 2023","1074"
"347","7.43","","Scovia AYIKORU","14 JAN 1994","UGA","3","CrossPlex Athletic Facility, Birmingham, AL (USA) (i)","21 FEB 2023","1074"
"347","7.43","","Camille CHRISTOPHER","20 MAR 2000","USA","4h2","SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA) (i)","24 FEB 2023","1074"
"347","7.43","","Yanjun LIAO","30 SEP 1998","TPE","1h4","Convention Center, Albuquerque, NM (USA) (i)","24 FEB 2023","1074"
"347","7.43","","Taniya LOONEY","","USA","4h2","Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)","10 MAR 2023","1074"
"347","7.43","","Aleesa SAMUEL","2007","USA","1h6","The Track at New Balance, Boston, MA (USA) (i)","11 MAR 2023","1074"
"367","7.44","","Daszay FREEMAN","25 JAN 2000","JAM","4h3","Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)","13 JAN 2023","1071"
"367","7.44","","Chiara MELON","08 OCT 1999","ITA","2h1","Palaindoor Ancona, Ancona (ITA) (i)","21 JAN 2023","1071"
"367","7.44","","Tamiris DE LIZ","18 NOV 1995","BRA","4","Track & Field complex QAZAQSTAN, Astana (KAZ) (i)","23 JAN 2023","1071"
"367","7.44","","Nikola BENDOVÁ","04 NOV 1999","CZE","1f3","Atletická hala, Ostrava (CZE) (i)","02 FEB 2023","1071"
"367","7.44","","Naomi SEDNEY","17 DEC 1994","NED","2f2","Laugardalshöll, Reykjavík (ISL) (i)","05 FEB 2023","1071"
"367","7.44","","Eva MISIŪNAITĖ","04 DEC 1991","LTU","1f6","Jāņa Daliņa Manēža, Valmiera (LAT) (i)","05 FEB 2023","1071"
"367","7.44","","Gabrielle COLE","2004","CAN","1f2","Dennis Fairall Fieldhouse, Windsor (CAN) (i)","10 FEB 2023","1071"
"367","7.44","","Anivea GILBERT","","USA","5","Sports Performance Center, Lubbock, TX (USA) (i)","10 FEB 2023","1071"
"367","7.44","","Maribel Vanessa CAICEDO","01 APR 1998","ECU","2h6","Convention Center, Albuquerque, NM (USA) (i)","11 FEB 2023","1071"
"367","7.44","","Nooralotta NEZIRI","09 NOV 1992","FIN","1f2","TESC, Tampere (FIN) (i)","12 FEB 2023","1071"
"367","7.44","","Monika ROMASZKO","13 APR 2002","POL","4h3","Arena, Toruń (POL) (i)","18 FEB 2023","1071"
"367","7.44","","Amanda OBIJAKU","26 AUG 2003","ITA","4h1","Sports Performance Center, Lubbock, TX (USA) (i)","24 FEB 2023","1071"
"367","7.44","","Kiyah YEAST","09 APR 2002","USA","4h2","Norton Sports Center, Louisville, KY (USA) (i)","24 FEB 2023","1071"
"367","7.44","","I'Asia WILSON","2003","USA","2h4","CrossPlex Athletic Facility, Birmingham, AL (USA) (i)","24 FEB 2023","1071"
"367","7.44","","Marcia SEY","07 NOV 2001","GBR","3h3","SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA) (i)","24 FEB 2023","1071"
"367","7.44","","Benedetta KOUAKOU","15 SEP 2004","CIV","1","Halle Stéphane Diagana, Lyon (FRA) (i)","25 FEB 2023","1071"
"367","7.44","","Vivian OGOR","2000","CAN","4","Dennis Fairall Fieldhouse, Windsor (CAN) (i)","25 FEB 2023","1071"
"367","7.44","-1.4","Grizell SCARLETT","11 NOV 2001","JAM","5h1","National Stadium, Kingston (JAM)","25 FEB 2023","1099"
"367","7.44","","Kennedi PORTER","","USA","4","Convention Center, Albuquerque, NM (USA) (i)","25 FEB 2023","1071"
"367","7.44","","Isabella HOHL","","USA","6","Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)","11 MAR 2023","1071"
"367","7.44","","Luna ARNAS","26 APR 2008","ESP","1","Pistas Expourense, Ourense (ESP) (i)","25 MAR 2023","1071"
"367","7.44","","Juvonna CORNETTE","","GUY","1","GVSU Kelly Family Sports Cente, Allendale, MI (USA) (i)","08 DEC 2023","1071"
"367","7.44","","Kya EPPS","","USA","2","GVSU Kelly Family Sports Cente, Allendale, MI (USA) (i)","08 DEC 2023","1071"
"390","7.45","","Camille RUTHERFORD","31 AUG 2002","BAH","1h2","Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)","13 JAN 2023","1068"
"390","7.45","","Sila KOLOĞLU","20 AUG 2004","TUR","1","Osmangazi Atletizm Salonu, Bursa (TUR) (i)","21 JAN 2023","1068"
"390","7.45","","Shaniya HALL","12 OCT 2001","USA","5h3","Sports Performance Center, Lubbock, TX (USA) (i)","27 JAN 2023","1068"
"390","7.45","","Diana SUUMANN","05 JUL 1992","EST","3f5","Lasnamäe Kergejõustikuhall, Tallinn (EST) (i)","29 JAN 2023","1068"
"390","7.45","","Im Lan LOI","06 FEB 1998","MAC","5h1","Nur-Sultan (KAZ) (i)","10 FEB 2023","1068"
"390","7.45","","Cuiwei ZHU","30 JUN 2000","CHN","3h5","Shaanxi Zhangba Trainig Center (CHN) (i)","11 FEB 2023","1068"
"390","7.45","","Kate PETSCH","","USA","3h4","Convention Center, Albuquerque, NM (USA) (i)","11 FEB 2023","1068"
"390","7.45","","Tahalia FAIRMAN","","USA","1","Liberty Indoor Complex, Lynchburg, VA (USA) (i)","11 FEB 2023","1068"
"390","7.45","","Ashantai BOLLERS","16 JUN 2002","CAN","4","Sports Performance Center, Lubbock, TX (USA) (i)","17 FEB 2023","1068"
"390","7.45","","Isabel POSCH","28 FEB 2000","AUT","2","TipsArena, Linz (AUT) (i)","18 FEB 2023","1068"
"390","7.45","","Janie DE NAEYER","17 AUG 2001","BEL","2h3","Topsporthal Vlaanderen, Gent (BEL) (i)","19 FEB 2023","1068"
